array_size	thread_count	cutoff	time_taken
1048576	2	16384	505
1048576	2	32768	401
1048576	2	65536	159
1048576	2	131072	132
1048576	2	262144	118
1048576	2	524288	119
1048576	2	1048576	154
2097152	2	16384	315
2097152	2	32768	340
2097152	2	65536	300
2097152	2	131072	252
2097152	2	262144	290
2097152	2	524288	257
2097152	2	1048576	206
2097152	2	2097152	293
4194304	2	16384	686
4194304	2	32768	622
4194304	2	65536	566
4194304	2	131072	613
4194304	2	262144	635
4194304	2	524288	542
4194304	2	1048576	542
4194304	2	2097152	466
4194304	2	4194304	599
8388608	2	16384	1417
8388608	2	32768	1466
8388608	2	65536	1357
8388608	2	131072	1303
8388608	2	262144	1893
8388608	2	524288	1272
8388608	2	1048576	1147
8388608	2	2097152	991
8388608	2	4194304	895
8388608	2	8388608	1341
16777216	2	16384	5848
16777216	2	32768	3284
16777216	2	65536	2945
16777216	2	131072	2794
16777216	2	262144	2785
16777216	2	524288	2809
16777216	2	1048576	2596
16777216	2	2097152	2391
16777216	2	4194304	1947
16777216	2	8388608	1668
16777216	2	16777216	2413
1048576	1	16384	502
1048576	1	32768	322
1048576	1	65536	318
1048576	1	131072	209
1048576	1	262144	169
1048576	1	524288	155
1048576	1	1048576	149
2097152	1	16384	477
2097152	1	32768	530
2097152	1	65536	418
2097152	1	131072	423
2097152	1	262144	382
2097152	1	524288	378
2097152	1	1048576	396
2097152	1	2097152	295
4194304	1	16384	1051
4194304	1	32768	945
4194304	1	65536	863
4194304	1	131072	952
4194304	1	262144	943
4194304	1	524288	936
4194304	1	1048576	785
4194304	1	2097152	825
4194304	1	4194304	596
8388608	1	16384	2095
8388608	1	32768	2088
8388608	1	65536	2992
8388608	1	131072	2033
8388608	1	262144	1962
8388608	1	524288	2246
8388608	1	1048576	2253
8388608	1	2097152	2177
8388608	1	4194304	1782
8388608	1	8388608	1196
16777216	1	16384	6043
16777216	1	32768	5625
16777216	1	65536	4330
16777216	1	131072	4174
16777216	1	262144	4449
16777216	1	524288	4336
16777216	1	1048576	3963
16777216	1	2097152	3657
16777216	1	4194304	3125
16777216	1	8388608	2719
16777216	1	16777216	2380
1048576	4	16384	509
1048576	4	32768	235
1048576	4	65536	162
1048576	4	131072	132
1048576	4	262144	108
1048576	4	524288	115
1048576	4	1048576	154
2097152	4	16384	274
2097152	4	32768	245
2097152	4	65536	241
2097152	4	131072	203
2097152	4	262144	211
2097152	4	524288	201
2097152	4	1048576	260
2097152	4	2097152	283
4194304	4	16384	536
4194304	4	32768	477
4194304	4	65536	418
4194304	4	131072	552
4194304	4	262144	435
4194304	4	524288	491
4194304	4	1048576	401
4194304	4	2097152	456
4194304	4	4194304	627
8388608	4	16384	1146
8388608	4	32768	1145
8388608	4	65536	986
8388608	4	131072	906
8388608	4	262144	1074
8388608	4	524288	890
8388608	4	1048576	871
8388608	4	2097152	740
8388608	4	4194304	862
8388608	4	8388608	1121
16777216	4	16384	3709
16777216	4	32768	2209
16777216	4	65536	2015
16777216	4	131072	2035
16777216	4	262144	2451
16777216	4	524288	2003
16777216	4	1048576	1789
16777216	4	2097152	1720
16777216	4	4194304	1417
16777216	4	8388608	1672
16777216	4	16777216	2300
1048576	8	16384	778
1048576	8	32768	339
1048576	8	65536	251
1048576	8	131072	196
1048576	8	262144	110
1048576	8	524288	144
1048576	8	1048576	178
2097152	8	16384	274
2097152	8	32768	268
2097152	8	65536	213
2097152	8	131072	235
2097152	8	262144	227
2097152	8	524288	232
2097152	8	1048576	225
2097152	8	2097152	304
4194304	8	16384	534
4194304	8	32768	463
4194304	8	65536	431
4194304	8	131072	543
4194304	8	262144	509
4194304	8	524288	437
4194304	8	1048576	429
4194304	8	2097152	447
4194304	8	4194304	648
8388608	8	16384	1201
8388608	8	32768	3393
8388608	8	65536	1832
8388608	8	131072	1116
8388608	8	262144	960
8388608	8	524288	943
8388608	8	1048576	897
8388608	8	2097152	929
8388608	8	4194304	881
8388608	8	8388608	1281
16777216	8	16384	3592
16777216	8	32768	2309
16777216	8	65536	2125
16777216	8	131072	2194
16777216	8	262144	2056
16777216	8	524288	2039
16777216	8	1048576	2002
16777216	8	2097152	1674
16777216	8	4194304	1661
16777216	8	8388608	1707
16777216	8	16777216	2368
