n,uncompressed time,uncompressed av depth,uncompressed pairs, path-halved time,path-halved av depth,path-halved pairs,compressed time,compressed av depth,compressed pairs,
64,0.36177000000000004,1.6390625,134.4,0.07021,1.0265625,155.6,0.25505,1.0390625,143.3
128,0.08841,1.78671875,354.3,0.43635,1.01015625,380.1,0.09526,1.02421875,318.3
256,0.47095000000000004,1.91015625,752.8,0.30006,1.005078125,741.2,0.29409,1.007421875,753.1
512,0.2861,1.977734375,1544.1,0.25673,1.0041015625,1730.5,0.45252,1.0029296875,1896.1
1024,1.18296,1.98251953125,3671.7,0.8528600000000001,1.00078125,3836.1,2.2343800000000003,1.00185546875,4006.1
2048,2.49565,2.023876953125,8070.6,2.0721800000000004,1.001416015625,7895.4,3.13262,1.000390625,8767.9
4096,2.95945,2.0840087890625,18859.6,1.8081600000000002,1.0006591796875,18883.0,1.7900099999999999,1.0004150390625,17428.3
8192,4.45328,2.08505859375,41128.2,3.5779000000000005,1.0002685546875,37393.3,4.16034,1.00025634765625,37269.8
16384,10.19899,2.094677734375,78961.5,10.36782,1.000262451171875,76497.3,7.57616,1.000042724609375,88548.2
32768,24.39171,2.120013427734375,176008.6,21.23534,1.000018310546875,187044.3,20.733269999999997,1.0000701904296876,175078.5
65536,54.21629,2.1173416137695313,392380.3,44.00153,1.0000411987304687,366211.1,44.4486,1.0000259399414062,384705.4
131072,129.49811,2.129499816894531,816226.9,101.33756,1.0000297546386718,775666.7,99.04731000000001,1.0000030517578125,864198.1
262144,308.14182999999997,2.1395694732666017,1661343.0,269.89133000000004,1.0000110626220704,1705277.6,252.86855999999997,1.0000091552734376,1672618.4
524288,858.6508299999999,2.155849075317383,3521193.4,673.08329,1.000004196166992,3707153.1,650.0701200000001,1.0000017166137696,3507562.7
1048576,2402.3962899999997,2.1574707984924317,7576534.0,1744.2713899999999,1.0000014305114746,7555869.3,1700.0837800000002,1.000002384185791,7199970.5
